anio,mes,fecha_referencia,hora_retiro,genero,rango_edad,viajes
2010,Marzo,2010-03-31,07:00:00 hrs,Mujer,21 - 30 años,58
2010,Marzo,2010-03-31,07:00:00 hrs,Mujer,31 - 40 años,50
2010,Marzo,2010-03-31,07:00:00 hrs,Mujer,41 - 50 años,16
2010,Marzo,2010-03-31,07:00:00 hrs,Mujer,51 - 60 años,11
2010,Marzo,2010-03-31,07:00:00 hrs,Mujer,61 - 70 años,3
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,10 - 20 años,6
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,21 - 30 años,333
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,31 - 40 años,338
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,41 - 50 años,155
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,51 - 60 años,86
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,61 - 70 años,33
2010,Marzo,2010-03-31,08:00:00 hrs,Hombre,71 - 80 años,1
2010,Marzo,2010-03-31,08:00:00 hrs,Mujer,10 - 20 años,3
2010,Marzo,2010-03-31,08:00:00 hrs,Mujer,21 - 30 años,126
2010,Marzo,2010-03-31,08:00:00 hrs,Mujer,31 - 40 años,76
2010,Marzo,2010-03-31,08:00:00 hrs,Mujer,41 - 50 años,20
2010,Marzo,2010-03-31,08:00:00 hrs,Mujer,51 - 60 años,15
2010,Marzo,2010-03-31,08:00:00 hrs,Mujer,61 - 70 años,2
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,10 - 20 años,13
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,21 - 30 años,368
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,31 - 40 años,391
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,41 - 50 años,155
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,51 - 60 años,82
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,61 - 70 años,27
2010,Marzo,2010-03-31,09:00:00 hrs,Hombre,71 - 80 años,2
2010,Marzo,2010-03-31,09:00:00 hrs,Mujer,10 - 20 años,3
2010,Marzo,2010-03-31,09:00:00 hrs,Mujer,21 - 30 años,112
2010,Marzo,2010-03-31,09:00:00 hrs,Mujer,31 - 40 años,104
2010,Marzo,2010-03-31,09:00:00 hrs,Mujer,41 - 50 años,23
2010,Marzo,2010-03-31,09:00:00 hrs,Mujer,51 - 60 años,22
2010,Marzo,2010-03-31,09:00:00 hrs,Mujer,61 - 70 años,1
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,10 - 20 años,5
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,21 - 30 años,223
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,31 - 40 años,314
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,41 - 50 años,209
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,51 - 60 años,82
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,61 - 70 años,28
2010,Marzo,2010-03-31,10:00:00 hrs,Hombre,71 - 80 años,4
2010,Marzo,2010-03-31,10:00:00 hrs,Mujer,10 - 20 años,2
2010,Marzo,2010-03-31,10:00:00 hrs,Mujer,21 - 30 años,116
2010,Marzo,2010-03-31,10:00:00 hrs,Mujer,31 - 40 años,76
2010,Marzo,2010-03-31,10:00:00 hrs,Mujer,41 - 50 años,21
2010,Marzo,2010-03-31,10:00:00 hrs,Mujer,51 - 60 años,28
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,10 - 20 años,7
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,21 - 30 años,228
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,31 - 40 años,289
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,41 - 50 años,200
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,51 - 60 años,108
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,61 - 70 años,18
2010,Marzo,2010-03-31,11:00:00 hrs,Hombre,71 - 80 años,4
2010,Marzo,2010-03-31,11:00:00 hrs,Mujer,10 - 20 años,2
2010,Marzo,2010-03-31,11:00:00 hrs,Mujer,21 - 30 años,96
2010,Marzo,2010-03-31,11:00:00 hrs,Mujer,31 - 40 años,121
2010,Marzo,2010-03-31,11:00:00 hrs,Mujer,41 - 50 años,33
2010,Marzo,2010-03-31,11:00:00 hrs,Mujer,51 - 60 años,26
2010,Marzo,2010-03-31,12:00:00 hrs,Hombre,10 - 20 años,8
