sistema,num_cicloestacion,nombre,calle_principal,calle_secundaria,colonia,alcaldia,latitud,longitud,tipo_ce,candados
ECOBICI,322,Heriberto Frías - Concepción Beistegui,Heriberto Frías,Concepción Beistegui,Narvarte Poniente,BENITO JUAREZ,19.388528,-99.160616,3G,27
ECOBICI,323,Concepción Beistegui - Gabriel Mancera,Concepción Beistegui,Gabriel Mancera,Del Valle Norte,BENITO JUAREZ,19.389026,-99.163403,3G,24
ECOBICI,324,Amores - Avenida Eugenia,Amores,Avenida Eugenia,Del Valle Centro,BENITO JUAREZ,19.387342,-99.165629,3G,18
ECOBICI,325,Providencia - Avenida Del Valle,Providencia,Avenida Del Valle,Del Valle Centro,BENITO JUAREZ,19.388178,-99.169689,3G,24
ECOBICI,326,Eugenia - Nebraska,Eugenia,Nebraska,Ampliación Nápoles,BENITO JUAREZ,19.388978,-99.174811,3G,36
ECOBICI,327,Georgia - Pensilvania,Georgia,Pensilvania,Nápoles,BENITO JUAREZ,19.38885,-99.17772,Multimedial,24
ECOBICI,328,Avenida 1 - Calle 7,Avenida 1,Calle 7,San Pedro de los Pinos,BENITO JUAREZ,19.392721,-99.184727,3G,27
ECOBICI,329,Calle 13 - Avenida 1,Calle 13,Avenida 1,San Pedro de los Pinos,BENITO JUAREZ,19.390306,-99.184812,3G,24
ECOBICI,330,Calle 15 - Avenida Patriotismo,Calle 15,Avenida Patriotismo,San Pedro de los Pinos,BENITO JUAREZ,19.389358,-99.182606,3G,18
ECOBICI,331,Avenida 2 - Calle 17,Avenida 2,Calle 17,San Pedro de los Pinos,BENITO JUAREZ,19.388748,-99.183924,3G,27
ECOBICI,332,Calle 27 - Avenida 3,Calle 27,Avenida 3,San Pedro de los Pinos,BENITO JUAREZ,19.385494,-99.183744,3G,24
ECOBICI,333,Georgia - Carolina,Georgia,Carolina,Ampliación Nápoles,BENITO JUAREZ,19.387624,-99.180978,3G,21
ECOBICI,334,Nueva York - Insurgentes,Nueva York,Insurgentes,Ampliación Nápoles,BENITO JUAREZ,19.3865269,-99.1751519,3G,36
ECOBICI,335,Magdalena - Ameyalco,Magdalena,Ameyalco,Del Valle Centro,BENITO JUAREZ,19.387003,-99.173504,3G,33
ECOBICI,336,San Borja - Cda. Dr. J. Bartolache,San Borja,Cda. Dr. J. Bartolache,Del Valle Centro,BENITO JUAREZ,19.385531,-99.169673,3G,21
ECOBICI,337,San Borja - Martín Mendalde,San Borja,Martín Mendalde,Del Valle Centro,BENITO JUAREZ,19.384849,-99.16704,4G,21
ECOBICI,338,Nicolás San Juan - San Borja,Nicolás San Juan,San Borja,Del Valle Centro,BENITO JUAREZ,19.384242,-99.16326,3G,21
ECOBICI,339,Enrique Rébsamen - Avenida Eugenia,Enrique Rébsamen,Avenida Eugenia,Narvarte Poniente,BENITO JUAREZ,19.386212,-99.160583,3G,21
ECOBICI,340,Anaxágoras - Avenida Eugenia,Anaxágoras,Avenida Eugenia,Narvarte Poniente,BENITO JUAREZ,19.3856299,-99.1582241,4G,30
ECOBICI,341,San Borja - Avenida Cuauhtémoc,San Borja,Avenida Cuauhtémoc,Narvarte Poniente,BENITO JUAREZ,19.382889,-99.158352,3G,30
ECOBICI,342,Anaxágoras - Ángel Urraza Eje 6 Sur,Anaxágoras,Ángel Urraza Eje 6 Sur,Narvarte Poniente,BENITO JUAREZ,19.381052,-99.159453,3G,30
ECOBICI,343,Enrique Rébsamen - División del Norte,Enrique Rébsamen,División del Norte,Del valle Centro,BENITO JUAREZ,19.383904,-99.160875,3G,18
ECOBICI,344,Heriberto Frías - Ángel Urraza Eje 6 Sur,Heriberto Frías,Ángel Urraza Eje 6 Sur,Del valle Centro,BENITO JUAREZ,19.382222,-99.162214,3G,27
ECOBICI,345,Patricio Sanz - Miraflores,Patricio Sanz,Miraflores,Insurgentes San Borja,BENITO JUAREZ,19.384447,-99.172039,3G,21
ECOBICI,346,San Francisco - Santa Margarita,San Francisco,Santa Margarita,Insurgentes San Borja,BENITO JUAREZ,19.385039,-99.174018,3G,24
ECOBICI,347,Pensilvania - Maximino Ávila Camacho,Pensilvania,Maximino Ávila Camacho,Ciudad de los Deportes,BENITO JUAREZ,19.384474,-99.176084,4G,27
ECOBICI,348,Indiana - Avenida San Antonio,Indiana,Avenida San Antonio,Ciudad de los Deportes,BENITO JUAREZ,19.38542,-99.17823,3G,18
ECOBICI,349,Augusto Rodin - Avenida San Antonio,Augusto Rodin,Avenida San Antonio,Ampliación Nápoles,BENITO JUAREZ,19.385632,-99.180848,3G,21
ECOBICI,350,José Clemente Orozco - Correggio,José Clemente Orozco,Correggio,Ciudad de los Deportes,BENITO JUAREZ,19.384066,-99.181221,3G,30
ECOBICI,351,Calle 27 - Avenida Revolución,Calle 27,Avenida Revolución,San Pedro de los Pinos,BENITO JUAREZ,19.385751,-99.186297,3G,18
ECOBICI,352,Tintoreto - Giorgione,Tintoreto,Giorgione,Nonoalco,BENITO JUAREZ,19.384146,-99.185491,4G,30
ECOBICI,353,Carolina - Holbein,Carolina,Holbein,Ciudad de los Deportes,BENITO JUAREZ,19.38213,-99.178814,4G,27
ECOBICI,354,Boston - Avenida Insurgentes,Boston,Avenida Insurgentes,Noche Buena,BENITO JUAREZ,19.381714,-99.176664,3G,24
ECOBICI,355,California - Sacramento,California,Sacramento,Insurgentes San Borja,BENITO JUAREZ,19.382042,-99.173336,3G,21
ECOBICI,356,Matías Romero - Adolfo Prieto,Matías Romero,Adolfo Prieto,Del Valle Centro,BENITO JUAREZ,19.381287,-99.1702,3G,18
ECOBICI,357,Matías Romero - Amores,Matías Romero,Amores,Del Valle Centro,BENITO JUAREZ,19.380617,-99.167066,3G,24
ECOBICI,358,Nicolás San Juan - Matías Romero,Nicolás San Juan,Matías Romero,Del Valle Centro,BENITO JUAREZ,19.380087,-99.16427,3G,24
ECOBICI,359,Matías Romero - Pestalozzi,Matías Romero,Pestalozzi,Del Valle Centro,BENITO JUAREZ,19.379331,-99.161163,4G,33
ECOBICI,360,Heriberto Frías - Matías Romero,Heriberto Frías,Matías Romero,Del Valle Centro,BENITO JUAREZ,19.379435,-99.162794,Multimedial,21
ECOBICI,361,Porfirio Díaz - Capulín,Porfirio Díaz,Capulín,Del Valle Centro,BENITO JUAREZ,19.380691,-99.175036,3G,27
ECOBICI,362,Augusto Rodin - Alberto Balderas,Augusto Rodin,Alberto Balderas,Ciudad de los Deportes,BENITO JUAREZ,19.382109,-99.181056,3G,21
ECOBICI,363,Holbein - Paulo Ucello,Holbein,Paulo Ucello,Ciudad de los Deportes,BENITO JUAREZ,19.380839,-99.183932,3G,21
ECOBICI,364,Botticelli - Cda. de Giorgione,Botticelli,Cda. de Giorgione,Nonoalco,BENITO JUAREZ,19.383019,-99.185669,3G,27
ECOBICI,365,Holbein - Avenida Revolución,Holbein,Avenida Revolución,Nonoalco,BENITO JUAREZ,19.381123,-99.18667,3G,30
ECOBICI,366,Porfirio Díaz - Augusto Rodin,Porfirio Díaz,Augusto Rodin,Extremadura Insurgentes,BENITO JUAREZ,19.378423,-99.181891,3G,24
ECOBICI,367,Boston - Augusto Rodin,Boston,Augusto Rodin,Noche Buena,BENITO JUAREZ,19.379593,-99.181351,3G,21
ECOBICI,368,Porfirio Díaz - Cincinatti y Baltimore,Porfirio Díaz,Cincinatti y Baltimore,Extremadura Insurgentes,BENITO JUAREZ,19.379289,-99.179125,3G,24
ECOBICI,369,Porfirio Díaz - Avenida Insurgentes,Porfirio Díaz,Avenida Insurgentes,Extremadura Insurgentes,BENITO JUAREZ,19.379941,-99.177224,4G,36
