id,punto_lev,id_unico,folio,calle_lev,calle_1,calle_2,resul,f1,p1,munori,p2_col,p2_ref1,p2_ref2,p3,mundes,p4_col,p4_ref1,p4_ref2,p5,p6,p7_hr,p7_min,p8_hr,p8_min,p9,p9_1,p10,p11,p11_1,p12,p13,p14_1,p14_2,p14_3,p14_4,p15,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p17,p17_1,p17_2,p17_3,p18,p19,p20,p21_nivel,nivel,p21_ano,p22,p23,p23_1,p24,p24_1,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p26_7,p26_8,p27,factor
927,77,1153,18,BAJA CALIFORNIA,BAJA CALIFORNIA,MONTERREY,1,19,3,9015,ROMA,,,1,9015,ROMA,,,5,2,19,0,19,30,2,0.0,,2,0.0,,2.0,2,2,1,2,4,2,2,2,2,2,1,2,2,2,,,,2,,2,5,3,2,50,999999,9,1,2,4,2,2,1,2,2,2,2,2,3,74.5
928,74,1075,58,REFORMA,RIO MISISIPI,,1,26,2,9016,POLANCO,,,1,9015,DOCTORES,,,5,2,19,30,20,20,2,0.0,,2,0.0,,2.0,1,1,4,1,8,1,1,1,2,1,1,2,2,1,3.0,3.0,2.0,2,,1,8,5,5,150,999999,6,1,2,4,2,2,1,2,2,2,2,2,1,169.81
929,74,1070,53,REFORMA,RIO MISISIPI,,1,23,1,9015,GUERRERA,,,7,9010,SANTA FE,,,9,6,16,55,18,0,1,1.0,4.0,1,1.0,7.0,1.0,4,1,4,4,8,2,2,2,2,2,2,2,2,2,,,,2,,1,8,5,4,988888,999999,3,4,2,4,1,2,2,2,2,2,2,2,1,169.81
930,76,1109,15,DR. IGNACIO MORONES PRIETO,,DR. JOSE MARIA VERTIZ,1,23,1,9015,BUENOS AIRES,,,7,9015,PUEBLA,,,9,99,13,40,14,30,2,0.0,,2,0.0,,2.0,2,2,2,2,7,1,1,1,1,1,1,1,1,2,,,,2,,1,6,4,3,120,999999,5,1,2,4,2,2,1,2,2,2,2,2,4,29.68
931,74,1019,2,REFORMA,RIO MISISIPI,,1,37,1,9005,PROVIDENCIA,,,2,9015,CUAUHTEMOC,,,1,1,6,20,6,30,2,0.0,,2,0.0,,1.0,1,1,4,1,7,1,1,2,2,2,2,2,2,2,,,,2,,1,8,4,3,80,999999,6,3,2,4,2,2,1,2,2,2,2,2,1,169.81
932,74,1038,21,REFORMA,RIO MISISIPI,,1,35,1,9015,GUERRERO,,,2,9015,CUAUHTEMOC,,,1,1,10,5,10,25,2,0.0,,2,0.0,,1.0,1,1,4,1,3,1,1,1,2,1,2,1,2,2,,,,2,,1,8,5,4,988888,20000,6,2,2,2,2,2,2,2,2,2,2,2,1,546.38
933,95,1508,3,JOSE LORETO FABELA,PUERTO TAMPICO,PUERTO MAZATLAN,1,19,1,9005,PROVIDENCIA,OAXACA,MORELOS,3,9005,PROVIDENCIA,MARTIN CARRERA,,5,3,8,50,9,10,2,0.0,,2,0.0,,1.0,3,2,4,3,2,2,1,2,2,1,2,2,2,1,1.0,3.0,2.0,2,,2,5,4,3,200,1000,1,1,2,4,2,2,2,2,2,2,2,2,3,79.95
934,95,1512,7,JOSE LORETO FABELA,PUERTO TAMPICO,PUERTO MAZATLAN,1,61,1,15033,PLAZA ARAGON,,,2,9005,ARAGON,,,5,1,9,10,10,0,2,0.0,,2,0.0,,2.0,4,4,4,4,1,2,2,2,2,2,2,2,2,1,3.0,98.0,1.0,2,,1,3,1,2,150,4800,3,1,2,4,2,2,2,2,2,2,2,2,3,79.95
935,89,1353,11,RIO BAMBA,MONTEVIDEO,,1,40,2,9005,CENTRO,,,1,9005,LA ESACALERA,,,5,2,15,0,16,10,2,0.0,,2,0.0,,1.0,1,1,1,1,1,2,1,2,2,1,2,2,2,2,,,,2,,2,4,3,3,80,999999,3,1,2,4,2,2,2,2,2,2,2,2,6,47.72
936,96,1541,18,AV TALISMAN,PUERTO DE PALOS,,1,56,1,9005,EJIDOS SAN JUAN DE ARAGON,,,4,9005,EJODOS SAN JUAN DE ARAGON,,,5,4,16,30,17,10,1,1.0,2.0,2,0.0,,2.0,4,4,4,4,1,2,2,2,2,2,2,2,2,2,,,,1,1.0,1,3,2,6,988888,999999,3,1,2,4,1,2,2,2,2,2,2,2,4,41.09
