short_name,origin,destination,global_events,lat,lon,capacity
460,19952.0,21923,41875.0,19.43716476942747,-99.20793056498951,35
097,21498.0,20347,41845.0,19.429189,-99.132759,27
157,19522.0,22294,41816.0,19.406236,-99.166616,30
325,20408.0,21186,41594.0,19.38817793281278,-99.16966706519814,23
288,19867.0,21648,41515.0,19.396339843986805,-99.1835709661791,15
013,19232.0,22271,41503.0,19.424941,-99.17233,28
188,19689.0,21754,41443.0,19.411711,-99.190139,19
393,20042.0,21366,41408.0,19.373307,-99.172471,35
495,19965.0,21089,41054.0,19.445528,-99.166934,39
204,17961.0,22857,40818.0,19.435882,-99.19152,27
078,19164.0,21519,40683.0,19.407512,-99.177361,35
320,20153.0,20526,40679.0,19.391323,-99.15936,19
550,19728.0,20693,40421.0,19.445947026056686,-99.16137836878987,23
340,20103.0,20287,40390.0,19.385625037771153,-99.15819257503244,31
461,17245.0,23099,40344.0,19.440106,-99.210031,31
252,19650.0,20635,40285.0,19.427575,-99.17702,19
448,19106.0,21085,40191.0,19.426611,-99.14447,31
377,20110.0,20079,40189.0,19.375397,-99.163778,35
162,20063.0,20063,40126.0,19.404907,-99.162485,27
231,19238.0,20144,39382.0,19.429711892530808,-99.19357940565533,27
003,19390.0,19989,39379.0,19.43163,-99.158547,31
465,18440.0,20679,39119.0,19.445039,-99.194078,27
149,19475.0,19595,39070.0,19.41199,-99.155699,31
232,19765.0,19097,38862.0,19.42894,-99.185389,31
160,17325.0,21459,38784.0,19.440252,-99.163455,23
102,19457.0,19074,38531.0,19.428214,-99.139494,15
354,19446.0,19084,38530.0,19.381714,-99.176664,23
365,19202.0,19189,38391.0,19.381123,-99.18667,21
224,18661.0,19505,38166.0,19.431255,-99.188065,15
069,18868.0,18761,37629.0,19.410797,-99.168143,17
317,18256.0,19223,37479.0,19.391456,-99.166157,35
459,16849.0,20330,37179.0,19.429323620268587,-99.2071587592636,31
397,18205.0,18821,37026.0,19.37313576931919,-99.16706666355822,31
290,19643.0,17015,36658.0,19.396357553826412,-99.17268387978766,26
263,17245.0,19367,36612.0,19.436274,-99.158425,29
462,18675.0,17821,36496.0,19.442338,-99.205198,23
214,17870.0,18566,36436.0,19.434353,-99.20322,27
419,18600.0,17693,36293.0,19.370615,-99.181606,30
466,16915.0,19251,36166.0,19.44269,-99.19083,27
370,17810.0,18281,36091.0,19.378827,-99.176944,31
057,17506.0,18372,35878.0,19.414968000000002,-99.174766,11
478,16492.0,19247,35739.0,19.440818,-99.176961,27
218,17357.0,17995,35352.0,19.432451,-99.188033,23
156,16901.0,18418,35319.0,19.406959,-99.163021,19
240,17064.0,18239,35303.0,19.438634297233477,-99.20629061763975,17
472,18660.0,16526,35186.0,19.437667,-99.17711,23
394,16779.0,18370,35149.0,19.372474,-99.171639,35
219,16845.0,18299,35144.0,19.433542,-99.207808,39
246,17011.0,17954,34965.0,19.434147,-99.179835,15
221,17129.0,17717,34846.0,19.431799,-99.201565,25
552,16627.0,18198,34825.0,19.4431081,-99.1624537,23
381,16349.0,18393,34742.0,19.375543381100602,-99.17801052342838,23
283,16882.0,17660,34542.0,19.397923,-99.167248,19
278,17043.0,17255,34298.0,19.40071,-99.163831,19
200,16140.0,18141,34281.0,19.437596,-99.188785,27
225,17134.0,17033,34167.0,19.431172,-99.185612,21
091,18334.0,15765,34099.0,19.4374,-99.137571,19
247,17961.0,16047,34008.0,19.432276,-99.18064,27
282,16893.0,16987,33880.0,19.398719270170474,-99.16128046816084,19
470,16182.0,17676,33858.0,19.435039,-99.173879,23
050,16012.0,17737,33749.0,19.41682441224743,-99.17378827934954,27
205,17298.0,16434,33732.0,19.43552573443183,-99.18474711483212,19
351,16582.0,17146,33728.0,19.385751,-99.186297,15
293,16884.0,16755,33639.0,19.397373,-99.164598,23
234,14550.0,19009,33559.0,19.42786220267939,-99.1914046928423,27
088,17927.0,15628,33555.0,19.433757,-99.135331,15
360,16012.0,17370,33382.0,19.379435,-99.162794,23
187,15861.0,17504,33365.0,19.411227,-99.185514,23
299,16616.0,16646,33262.0,19.394601,-99.165054,27
492,16168.0,17092,33260.0,19.449153,-99.173433,35
089,16933.0,16139,33072.0,19.434962,-99.133729,11
248,16235.0,16835,33070.0,19.43175,-99.177399,23
171,15984.0,17030,33014.0,19.40253247789727,-99.1782025248358,27
122,15996.0,16928,32924.0,19.425502,-99.146337,31
375,16884.0,15994,32878.0,19.376997,-99.158779,23
189,15130.0,17710,32840.0,19.410046050731914,-99.18795973067971,19
262,17010.0,15371,32381.0,19.436931,-99.133952,31
285,15100.0,17279,32379.0,19.399763,-99.177538,19
184,16092.0,16244,32336.0,19.414793,-99.185083,35
239,16963.0,15348,32311.0,19.430153,-99.181355,19
177,15012.0,17138,32150.0,19.408841,-99.181692,19
385,15548.0,16564,32112.0,19.375650918831095,-99.18558642279095,35
541,15316.0,16747,32063.0,19.45272,-99.158014,27
168,15346.0,16676,32022.0,19.403997,-99.1776,23
243,15264.0,16597,31861.0,19.441123,-99.195857,23
329,14406.0,17287,31693.0,19.390306,-99.184812,31
191,14568.0,16938,31506.0,19.40796,-99.187901,19
439,15429.0,16066,31495.0,19.362037,-99.172683,19
452,15032.0,16337,31369.0,19.435867000000002,-99.179856,15
287,14419.0,16950,31369.0,19.398946,-99.183254,19
