short_name,origin,destination,global_events,lat,lon,capacity
196,8403,9795,18198,19.438349,-99.192904,27
323,8806,9387,18193,19.388986312246836,-99.1632449628014,27
218,8434,9723,18157,19.432451,-99.188033,23
455,8217,9871,18088,19.426308,-99.2033,23
314,8118,9943,18061,19.391647,-99.177331,19
287,8311,9748,18059,19.398946,-99.183254,19
338,8706,9086,17792,19.384242,-99.16326,27
315,9825,7892,17717,19.391444264426035,-99.17368702595921,27
461,7433,10150,17583,19.440106,-99.210031,31
373,8941,8640,17581,19.377932,-99.166594,19
203,7378,10073,17451,19.435985,-99.194832,23
324,8591,8821,17412,19.387342,-99.165629,19
318,7222,9748,16970,19.392195,-99.163987,23
139,8851,8018,16869,19.416128,-99.162097,23
358,8161,8477,16638,19.380087,-99.16427,23
222,8119,8293,16412,19.431417,-99.195774,27
336,7631,8612,16243,19.385531,-99.169673,25
294,7721,8350,16071,19.39644167553825,-99.16090227668974,21
268,8438,7632,16070,19.442467,-99.151658,69
370,8952,7059,16011,19.378827,-99.176944,31
478,7875,8122,15997,19.440818,-99.176961,27
104,7952,7986,15938,19.427059,-99.137116,11
333,6498,9205,15703,19.387624,-99.180978,23
307,6679,8985,15664,19.393711808925048,-99.17581468826029,27
102,7876,7653,15529,19.428214,-99.139494,15
432,8189,7114,15303,19.361245,-99.16239,35
342,8399,6862,15261,19.38237,-99.1598779,31
366,6646,8597,15243,19.378423,-99.181891,19
298,6936,8222,15158,19.394092,-99.162139,19
257,7308,7763,15071,19.433803,-99.166223,19
213,5487,9500,14987,19.434366028509015,-99.206306487431,27
458,7036,7902,14938,19.428679,-99.206605,19
354,7171,7727,14898,19.381714,-99.176664,23
427,7783,7079,14862,19.364905637923787,-99.1629866883295,19
283,7083,7670,14753,19.397923,-99.167248,19
361,7260,7366,14626,19.380691,-99.175036,27
220,6369,8138,14507,19.432655,-99.205727,27
279,6629,7869,14498,19.399908,-99.166553,31
262,7535,6946,14481,19.436931,-99.133952,31
199,6259,7951,14210,19.437934,-99.197241,23
412,7921,6066,13987,19.368107,-99.164376,34
430,9013,4964,13977,19.36205,-99.154976,23
345,6585,7354,13939,19.384447,-99.172039,23
477,6716,7156,13872,19.440905,-99.181743,23
387,6156,7622,13778,19.374267,-99.180546,19
395,6979,6712,13691,19.373725,-99.169807,31
247,6801,6869,13670,19.432276,-99.18064,27
381,6059,7543,13602,19.375543381100602,-99.17801052342838,23
414,6251,7319,13570,19.370213835587535,-99.17385498530166,27
349,5775,7757,13532,19.385632,-99.180848,19
348,5997,7442,13439,19.38542,-99.17823,19
241,6469,6928,13397,19.43869310388943,-99.20757338410112,19
282,6402,6904,13306,19.398719270170474,-99.16128046816084,19
375,7338,5966,13304,19.376997,-99.158779,23
413,6167,7120,13287,19.369823,-99.172164,35
468,6927,5857,12784,19.437250121513653,-99.1795731336424,33
462,5313,7420,12733,19.442338,-99.205198,23
355,6064,6561,12625,19.38201131984727,-99.17328938847277,19
399,6593,5668,12261,19.372469,-99.164538,35
190,6261,5977,12238,19.409577,-99.183818,31
473,5748,6488,12236,19.438143,-99.17519,35
346,5816,6312,12128,19.38496594717172,-99.17411729704327,26
160,6716,5289,12005,19.440252,-99.163455,23
105,6101,5852,11953,19.426755,-99.135014,23
175,5940,5998,11938,19.400599004903363,-99.17245991533491,23
419,5469,6465,11934,19.370615,-99.181606,30
397,5709,6211,11920,19.37313576931919,-99.16706666355822,31
322,6055,5794,11849,19.388456876549792,-99.16064277296753,27
421,5280,6560,11840,19.36952,-99.179421,31
332,4673,7146,11819,19.385494,-99.183744,23
155,6248,5514,11762,19.408218,-99.159911,35
380,5357,6329,11686,19.374756,-99.173539,23
